transactionId,merchant,amount,currency,result,date
TX001,M001,125.50,EUR,completed,2026-09-06T10:32:11Z
TX002,M001,250.00,EUR,completed,2026-09-06T11:15:11Z
TX003,M002,120.00,EUR,completed,2026-09-06T12:01:45Z
TX006,M001,75.00,EUR,completed,2026-09-06T15:00:00Z
TX007,M003,45.00,EUR,completed,2026-09-06T16:10:00Z
TX008,M002,200.00,EUR,completed,2026-09-06T17:30:00Z
TX009,M001,100.00,EUR,completed,2026-09-06T18:00:00Z
TX010,M003,55.00,EUR,completed,2026-09-06T19:15:00Z
TX014,M001,one hundred,EUR,completed,2026-09-06T23:00:00Z
TX015,M099,50.00,XYZ,completed,2026-09-06T23:30:00Z
