transaction_id,merchant_id,amount,currency,status,timestamp
TX001,M001,125.50,EUR,SUCCESS,2026-09-06 10:32:11
TX002,M001,250.00,EUR,SUCCESS,2026-09-06 11:15:22
TX003,M002,120.00,EUR,SUCCESS,2026-09-06 12:01:45
TX004,M002,80.00,EUR,FAILED,2026-09-06 13:45:00
TX005,M003,90.00,EUR,SUCCESS,2026-09-06 14:20:10
TX006,M001,75.00,EUR,SUCCESS,2026-09-06 15:00:00
TX007,M003,45.00,EUR,SUCCESS,2026-09-06 16:10:00
TX008,M002,200.00,EUR,SUCCESS,2026-09-06 17:30:00
TX009,M001,100.00,EUR,SUCCESS,2026-09-06 18:00:00
TX010,M003,55.00,EUR,SUCCESS,2026-09-06 19:15:10
TX016,M002,67.00,EUR,SUCCESS,2026-09-06 20:00:00
